date,phase,shape,decision,simTicks,firstWaveStartTick,lastWaveEndTick,MMOP,ldsBankConflict,coissueSuccess,coissueFailed,metadata,evidence,next
2026-07-02,full_dkv_mmac12_producer_exit,H1/S128/causal,REJECT_RUNTIME_PANIC,NA,NA,NA,not-measured,NA,NA,NA,"static PASS private=0 sgpr=84 vgpr=132 sgpr_spill=0 vgpr_spill=0; producer_vgpr=76 after producer_vgpr=80 compile granularity failure","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_034614","reverted: producer early return triggered PMD vgpr81 not init/freed during MMAC"
2026-07-02,full_dkv_mmac12_full_valid_softmax_fastpath,H1/S128/causal,REJECT_CORRECTNESS,NA,NA,NA,not-measured,NA,NA,NA,"static PASS private=0 sgpr=80 vgpr=112 sgpr_spill=0 vgpr_spill=0; dK rel_l2=0.000361379 but dV rel_l2=14.7566","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_035820; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_035954","reverted: full-valid global-sidecar mask fast path broke dV correctness; do not reattempt without focused owner16/sidecar probe"
2026-07-02,full_dkv_mmac12_dvdk_readall,H1/S1024/causal,ACCEPT_MICRO,76113310,3613610,76113310,full-dkv,0,30904,22164,"private=0 sgpr=88 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=21.3054% xcu_mmac_latency=23.64% lds_matrix_to_immed=5.53% top_bubble=abarrier_to_salu32_38.64%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_041545; perf=/Volumes/172.20.68.76/共享/shaobo/perf/20260702_041545_clean_w12_dvdk_readall_h1s1024_sqc7","keep read-all dV/dK island; next attack abarrier/control and long producer/consumer phase alignment"
2026-07-02,full_dkv_mmac12_presoftmax_dvdk_read,static,REJECT_RESOURCE,NA,NA,NA,not-run,NA,NA,NA,"build PASS but metadata FAIL private_segment=24 vgpr_spill=10 sgpr=84 vgpr=112; source operands live across softmax/dS exceeded compiler allocation","remote build on /zys/shaobo/fa3_bwd_wasp_clean after W12_PRESOFTMAX_DVDK_READ_DESIGN","reverted: retry only as smaller 4+4 read groups or with softmax live-range shrink"
2026-07-02,full_dkv_mmac12_dvdk_read4x2,H1/S1024/causal,ACCEPT_MICRO,75121865,3613610,75121865,full-dkv,0,30929,20971,"private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=21.5678% xcu_mmac_latency=23.59% lds_matrix_to_immed=2.46% top_bubble=abarrier_to_salu32_39.00%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_043641; perf=/Volumes/172.20.68.76/共享/shaobo/perf/20260702_043641_clean_w12_dvdk_read4x2_h1s1024_sqc7","keep read4x2 as current micro baseline; next structural work must reduce abarrier/control bubble"
2026-07-02,full_dkv_mmac12_valu_turnstile,H1/S1024/causal,REJECT_PERF,77522445,3613610,77522445,full-dkv,0,29516,19583,"private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=20.8817%; added kValuExec0 consumer turnstile","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_044441; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_044502","reverted: explicit turnstile added wait/control but did not create useful overlap; next needs useful independent work or different role split"
2026-07-02,full_dkv_mmac12_raw_source_split,H1/S1024/causal,REJECT_PERF,79221415,3613610,79221415,full-dkv,0,31554,23826,"private=0 sgpr=86 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=20.5505%; split raw/source page ownership","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_045658; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_045719","reverted: more precise source token split added ABarrier/control cost and regressed ticks/active"
2026-07-02,full_dkv_mmac12_consumer_group_template,H1/S1024/causal,ACCEPT_MICRO,75026315,3613610,75026315,full-dkv,0,31198,22312,"private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=21.5708%; ConsumerGroup template cleanup","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_050701; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_050727","keep: tiny FWD-style codegen cleanup; next target remains barrier/control and sidecar/global-read debt"
2026-07-02,full_dkv_mmac12_dvdk_zero_seed,H1/S1024/causal,ACCEPT_MICRO,74218235,3613610,74218235,full-dkv,0,30594,21056,"private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=21.7988%; skip dV/dK zero_f16x8 for non-first q tiles; xcu_mmac=23.68% valu32_hits=151648 top_bubble=abarrier_to_salu32_39.07%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_051325; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_051343; perf=/Volumes/172.20.68.76/共享/shaobo/perf/20260702_051513_clean_w12_zero_seed_h1s1024_sqc7","keep: removes real volatile zeroing; next target remains barrier/control and flat_rd->immed sidecar latency"
2026-07-02,full_dkv_mmac12_sidecar_prefetch,H1/S1024/causal,REJECT_PERF_STATS_ONLY,79008020,3613610,79008020,full-dkv,0,40984,31390,"private=0 sgpr=93 vgpr=112 sgpr_spill=0 vgpr_spill=0 branch_consumer=158/160 mmac_active_avg=18.4182%; prefetch 24 sidecar floats before RawFilled/score-dP","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_052854; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_052900; archive=/Volumes/172.20.68.76/共享/shaobo/perf/20260702_052900_clean_w12_sidecar_prefetch_reject_h1s1024_sqc7","reverted: sidecar live range exhausted consumer slack and reduced active; next sidecar attempt must reduce representation/live range, not preload all triplets"
2026-07-02,full_dkv_mmac12_noncausal_diagnostic,H1/S1024/noncausal,REJECT_CORRECTNESS_DIAGNOSTIC,NA,NA,NA,not-measured,NA,NA,NA,"baseline binary restored private=0 sgpr=84 vgpr=112; S128 noncausal PASS but S1024 pass=0 dk_rel_l2=0.0199722 dv_rel_l2=0.002617","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_053747; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_053811","do not use CAUSAL=0 for MMAC-active tuning until correctness/tolerance is resolved; continue causal=true mainline"
2026-07-02,full_dkv_mmac12_sidecar_pair_prefetch,H1/S128/causal,REJECT_CORRECTNESS,NA,NA,NA,not-measured,0,NA,NA,"static clean private=0 sgpr=82 vgpr=112 sgpr_spill=0 vgpr_spill=0 branch_consumer=144/160; correctness failed dk_rel_l2=8244.1 dv_rel_l2=30.6025 pass=0; PMD read vgpr111 before writing","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_055216","code reverted; do not retry sidecar batching in full dKV without focused sidecar-fragment correctness probe"
2026-07-02,full_dkv_mmac12_mq64_singlebuf_s1024,H1/S1024/causal,REJECT_CORRECTNESS,NA,NA,NA,not-measured,0,NA,NA,"final specialization resource clean private=0 sgpr=100 sgpr_spill=0 vgpr=144 vgpr_spill=0 branch_consumer=171/208; earlier unspecialized variants had sgpr spill; correctness failed dk_rel_l2=5680.1 dv_rel_l2=20.0452 pass=0; PMD read vgpr268 before writing","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_062758","revert full implementation; retry only after focused Mq64 score/dP sidecar source-layout dV/dK store correctness probe"
2026-07-02,full_dkv_mmac12_mq64_seedfix_s1024,H1/S1024/causal,OBSERVE_CORRECTNESS_REJECT_PERF,83209490,3613610,83209490,full-dkv,0,13713,7221,"private=0 sgpr=100 vgpr=144 sgpr_spill=0 vgpr_spill=0 branch_consumer=171/208 mmac_active_avg=19.8279% total_mmop_instr=131072; fix high D-block accumulator seed; pass=1 dk_rel_l2=0.0025563 dv_rel_l2=0.000337571","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_064930","keep only as opt-in diagnostic/future Mq64 basis; not promoted because kernel_ticks regressed vs zero-seed baseline 70604625 and MMAC active fell vs 21.7988%"
2026-07-02,full_dkv_mmac12_raw_sidecar_overlay,H1/S1024/causal,REJECT_PERF_STATS_ONLY,76727560,3613610,76727560,full-dkv,0,39007,29043,"private=0 sgpr=86 vgpr=112 sgpr_spill=0 vgpr_spill=0 branch_producer=9/16 branch_consumer=146/160 mmac_active_avg=18.9185% total_mmop_instr=131072; H1/S128 pass=1; H1/S1024 pass=1 dk_rel_l2=0.0025563 dv_rel_l2=0.000337571","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_070805; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_070829","keep only as opt-in diagnostic if source retained: coissue up but ticks/active worse than zero-seed baseline; extra RawFilled/RawUsed sidecar generation not promoted"
2026-07-02,full_dkv_mmac12_score_dp_read2x,H1/S1024/causal,REJECT_PERF_STATS_ONLY,74415250,3613610,74415250,full-dkv,0,34543,22997,"private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0 branch_consumer=150/160 mmac_active_avg=21.5465% total_mmop_instr=131072; H1/S128 pass=1; H1/S1024 pass=1 dk_rel_l2=0.0025563 dv_rel_l2=0.000337571","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_072317; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_072323","read2x score/dP brick is correct/resource-clean but worse than zero-seed baseline 70604625 ticks and 21.7988% active; next attack packet ownership/conveyor"
2026-07-02,full_dkv_mmac12_mq64_semantic_page,H1/S1024/causal,REJECT_PERF_STATS_ONLY,76933675,3613610,76933675,131072,0,23374,16882,"private=0 sgpr=90 vgpr=144 sgpr_spill=0 vgpr_spill=0 branch_consumer=180/208 mmac_active_avg=21.7509%; H1/S128 pass=1; H1/S1024 pass=1; same-build W12 baseline kernel_ticks=70974995 mmac_active_avg=21.7125%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_074704; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_074725; baseline=/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_075046","semantic page lowered VOP active but extra raw/source ABarrier generation reduced coissue and regressed ticks; do not promote; next avoid extra page-generation barriers"
2026-07-02,full_dkv_mmac12_causal_whole_tile_skip,H1/S1024/causal,REJECT_PERF_H1S1024,76495510,3613610,76495510,73728,0,14760,11291,"private=0 sgpr=88 vgpr=144 sgpr_spill=0 vgpr_spill=0 branch_consumer=194/208; H1/S128 causal/noncausal pass=1; H1/S1024 pass=1; mmac_active_avg=16.7128%; same-build W12 baseline kernel_ticks=71006845 mmac_active_avg=21.6777% MMOP=131072","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_081433; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_081455; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_081517; baseline=/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_081604","do not promote: whole-tile causal skip removes MMOP but worsens kernel_ticks to 72881900 vs 71006845 and lowers active share; H1 tail/SIMD imbalance dominates"
2026-07-02,full_dkv_mmac12_mixed_score_brick,H1/S1024/causal,REJECT_PERF_STATS_ONLY,75277475,3613610,75277475,131072,0,33504,24695,"private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0 branch_group0=150/160 branch_group1=158/160; H1/S128 pass=1; H1/S1024 pass=1; mmac_active_avg=21.1732%; same-build W12 baseline kernel_ticks=71312605 mmac_active_avg=21.5931% coissue=30130/20996; PMD read_vgpr111 warning also present in baseline","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_084709; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_084734; baseline=/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_084834","do not promote: asymmetric score/dP brick raised coissue but regressed kernel_ticks by 0.49% and lowered MMAC active; score/dP shape mismatch alone does not solve consumer lockstep"
2026-07-02,full_dkv_mmac12_dedicated_lds_sidecar_design,static,REJECT_RESOURCE_DESIGN,NA,NA,NA,not-run,NA,NA,NA,"remote build static_assert failed: Layout::kBytes + Tile::kSidecarBytes = 131840 > 131072; corrected W12 LDS budget is already 128KB; candidate code removed; mixed API validation fix retained","remote build after workbook design, no PMD m5out","do not append dedicated sidecar/scratch LDS to current W12; future sidecar-in-LDS must replace an existing page/lifetime"
2026-07-02,full_dkv_mmac12_source_score_layout_probe,H1/S128/causal,REJECT_LAYOUT_PROBE,NA,NA,NA,not-measured,NA,NA,NA,"static resource clean private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0 branch_consumer=146/160; H1/S128 correctness failed dk_max_abs=0.000713147 dk_rel_l2=1.5564 dv_max_abs=0.000420369 dv_rel_l2=0.00432992 pass=0","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_092729","code removed; source-layout Q^T/dO^T is not a drop-in replacement for raw Q/dO score/dP operands with current ds_read_matrix mapping"
2026-07-02,full_dkv_mmac12_raw_dvdk_layout_probe,H1/S128/causal,REJECT_LAYOUT_PROBE,NA,NA,NA,not-measured,NA,NA,NA,"static resource clean private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0 branch_consumer=171/208; H1/S128 correctness failed dk_max_abs=0.000490837 dk_rel_l2=1.00048 dv_max_abs=0.253552 dv_rel_l2=0.932977 pass=0","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_094838","code removed; raw Q/dO LDS pages are not a drop-in replacement for source-layout dO^T/Q^T dV/dK operands with current ds_read_matrix mapping"
2026-07-02,full_dkv_mmac12_early_rawused_release,H1/S1024/causal,ACCEPT_MICRO_OBSERVE_PIPELINE,74120865,3613610,74120865,131072,0,32757,21546,"private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0; full-perf mmac_active_share=21.7393% vop_active_share=26.0231%; same-build stats-only ticks 70869890 vs baseline 70883085","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_104215; perf=/Volumes/172.20.68.76/共享/shaobo/perf/20260702_104215_clean_w12_early_release_h1s1024_sqc7_fullperf","keep opt-in micro path only: early RawUsed release improves coissue and some xcu windows but does not solve producer abarrier bubble; next redesign page lifetime/topology"
2026-07-02,full_dkv_mmac12_sidecar_lane_broadcast,H1/S1024/causal,REJECT_PERF_STATS_ONLY,90379380,3613610,90379380,131072,0,40501,30454,"private=0 sgpr=82 vgpr=112 sgpr_spill=0 vgpr_spill=0 branch_consumer=146/160; H1/S128 pass=1; H1/S1024 pass=1; mmac_active_share=15.8550%; same-build W12 baseline kernel_ticks=71209320 active=21.5636%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_110454; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_110521; baseline=/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_110630","code removed: lane_n==0 + __shfl sidecar broadcast reduced theoretical flat loads but increased active_time/VALU and regressed ticks by 21.8%; do not attack sidecar via wave shuffle in main dKV"
2026-07-03,full_dkv_mmac12_early_release_canonical,H1/S1024/causal,ACCEPT_MICRO_CANONICAL,74272380,3613610,74272380,131072,0,31248,20588,"private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=21.8783%; full perf xcu top RawUsed bubble s_abarrier_try_wait->s_xor_b32 3.576M cycles 28.66%; stats-only companion kernel_ticks=70505435","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_235302; fullperf=/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260702_235606; xcu=/zys/shaobo_runs/fa3_bwd_wasp_clean/xcu_outputs/main_bottleneck_w12_earlycanon_h1s1024_20260702_235606","keep in canonical route as a micro win; not a pipeline solution because RawUsed remains dominant"
2026-07-03,full_dkv_mmac12_split_raw_source_token_retry,H1/S1024/causal,REJECT_PERF_STATS_ONLY,79468935,3613610,79468935,131072,0,26810,18008,"private=0 sgpr=86 vgpr=112 sgpr_spill=0 vgpr_spill=0 mmac_active_avg=21.0489%; H1/S128 and H1/S1024 pass=1; split raw Q/dO and source-layout QT/dOT lifetimes into separate ABarrier token families","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_001233; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_001305","code removed: extra source token generation regressed ticks and active share; do not add more ABarrier generations unless xcu proves the new wait is hidden by useful work"
2026-07-03,tile_ledger_current_mq32_nk128_w12,H1/S1024/causal,DESIGN_BASELINE,NA,NA,NA,131072,0,NA,NA,"current route Mq=32 Nk=128 D=128 W12; per consumer wave per q tile 64 MMAC; LDS exactly 128KB; top xcu bubble RawUsed about 28.66%; target MMAC active >=60%","/Volumes/172.20.68.76/共享/shaobo/fa3_bwd_dkv_fwdstyle_tile_design_20260703.xlsx; results/tile_ledger_20260703.md","next implementation must increase effective MMAC island or hide RawUsed without extra ABarrier token families or duplicate score/dP"
2026-07-03,full_dkv_mmac12_mq64_long_island_reorders,H1/S128/causal,REJECT_CORRECTNESS,NA,NA,NA,not-promoted,NA,NA,NA,"three Mq64 single reorder variants were static-clean: score-both+softmax-both branch_consumer=191/208, score-both+one-softmax-at-a-time branch_consumer=187/208, full-Mq64 helper branch_consumer=179/208; all produced dV bad_count=16384 with dv_max_abs=2.73637e-05 dv_rel_l2=0.000267234 while dK was exact; code restored to prior Mq64 half-sequential route","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_012315; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_012619; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_012810","do not lengthen Mq64 by holding score/dP or p/dS across half-blocks in the main route; next design must change topology/page lifetime rather than simple live-range stretching"
2026-07-03,legacy_w16_split_producer_probe,H1/S128/causal,REJECT_RUNTIME_HANG,NA,NA,NA,not-measured,NA,NA,NA,"existing 16-wave split-producer kernel was static clean private=0 sgpr=78 vgpr=84 no spill, but S128 PMD did not converge after >18B ticks and emitted read vgpr112 before writing; run was killed","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_013236","do not revive legacy W16 route directly; any future 16-wave FWD-style design needs a fresh barrier/producer ownership protocol and H1/S128 correctness first"
2026-07-03,legacy_w16_qloop_fix,H1/S1024/causal,OBSERVE_CORRECTNESS_PASS,76946870,3613610,76946870,131072,0,34952,26250,"private=0 sgpr=78 vgpr=84 sgpr_spill=0 vgpr_spill=0; producer_qk_loop now uses runtime q_tiles instead of fixed Tile::kQTilesPerCta; H1/S128 and H1/S1024 pass; mmac_active_avg=20.5512%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_013701; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_013725","keep q-loop bound fix because it removes a real W16 hang; do not promote W16 route because ticks/active trail W12 canonical"
2026-07-03,legacy_w16_split_producer_early_release,H1/S1024/causal,REJECT_PERF_STATS_ONLY,78495690,3613610,78495690,131072,0,32395,24677,"private=0 sgpr=78 vgpr=84 sgpr_spill=0 vgpr_spill=0; branch consumers 150/160; H1/S128 pass and H1/S1024 pass; mmac_active_avg=20.3284%; ldsBankConflict=0","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_014618; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_014638","revert W16 early-release change from active route: split-producer W16 is correct after q_tiles fix but still slower than W12 canonical and lowers MMAC active"
2026-07-03,w12_dvdk_source_quad_read_pmd,H1/S1024/causal,OBSERVE_REJECT_PERF,74174555,3613610,74174555,131072,0,31952,20804,"private=0 sgpr=82 vgpr=112 sgpr_spill=0 vgpr_spill=0; H1/S128 and H1/S1024 pass; dV/dK source reads changed from four pair wrappers to two no-s_nop quad ds_read_matrix blocks; mmac_active_avg=21.7716%; mmop_runtime_share=45.5229%","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_015831; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_015836","code removed: VOP runtime fell and runtime share improved, but kernel_ticks and MMAC active did not beat W12 canonical; batching reads alone does not solve barrier/packet conveyor"
2026-07-03,w12_rawused_release_after_high_read_candidateA,H1/S1024/causal,REJECT_XCU_PRIMARY_METRIC,73479315,3613610,73479315,131072,0,33894,21881,"private=0 sgpr=84 vgpr=112 sgpr_spill=0 vgpr_spill=0; H1/S128 and H1/S1024 pass; full-perf kernel_ticks=69865705; mmac_active_share=21.8495%; xcu top RawUsed bubble s_abarrier_try_wait->s_xor_b32 3.538M cycles 28.61%; s_waitcnt latency rose to 3.006M","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_020841; stats=/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_020926; fullperf=/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_021203; xcu=/zys/shaobo_runs/fa3_bwd_wasp_clean/xcu_outputs/rawused_candidateA_h1s1024_20260703_021203","code reverted: moving RawUsed arrive before low dV/dK MMAC gives only micro tick noise and does not improve MMAC active or remove the dominant ABarrier bubble; next attack needs fewer packet turns or a longer useful MMAC island"
2026-07-03,w16_wg_local_nk64_semantic,H1/S1024/causal,REJECT_PERF_STATS_ONLY,84404320,3613610,84404320,131072,0,30775,21592,"private=0 sgpr=86 vgpr=88 sgpr_spill=0 vgpr_spill=0; H1/S128 and H1/S1024 pass; kernel_ticks=80790710; mmac_active_share=19.1856%; vop_active_share=27.6249%; coissue_rate=58.77%; ldsBankConflict=0; S128 PMD warned read vgpr128 before writing but no panic","/zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_024846; /zys/shaobo_runs/fa3_bwd_wasp_clean/dkv_mmac_correctness_20260703_024909; workbook=/Volumes/172.20.68.76/共享/shaobo/fa3_bwd_dkv_fwdstyle_tile_design_20260703.xlsx sheet=17_wg_local_nk64_design","do not promote: WG-local semantic page split is resource/correctness-clean but lowers MMAC active below W12 canonical and increases ticks; duplicated Q/dO/source plus raw/source epoch control is worse than shared W12 double-buffer"
